"id";"name";"type";"location";"city";"description";"ipadd";"site_code";"area_code";"tagline"
66;"Balaikota";"KK";"Komplek Balaikota Yogyakarta, Jl. Kenari No.56, Muja Muju, Umbulharjo";"Yogyakarta";"";"172.16.55.0/24";"062";"006";""
67;"Giwangan";"KK";"Jl. Imogiri Timur No. 155, Giwangan";"Yogyakarta";"";"172.16.58.0/24";"063";"056";""
68;"Gedongkuning";"KK";"Jl. Gedongkuning Utara No. 148, Banguntapan";"Bantul";"";"172.16.57.0/24";"064";"056";""
69;"Tlagareja";"KK";"Jl. Godean, Banyuraden, Gamping";"Sleman";"";"172.16.59.0/24";"065";"044";""
70;"Sendangadi";"KK";"Jl. Magelang KM. 8 No. 95, Mulungan Wetan, Sendangadi, Mlati";"Sleman";"";"172.16.60.0/24";"066";"005";""
71;"UNY";"KK";"Gedung Lab. Kewirausahaan UNY, Komplek UNY, Jl. Gejayan No. 16, Caturtunggal, Depok";"Sleman";"";"172.16.67.0/24";"067";"042";""
72;"Sardjito";"KK";"Kompleks RSUP Dr. Sardjito, Jl. Kesehatan No. 1, Senolowo, Sinduadi, Mlati";"Sleman";"";"172.16.40.0/24";"068";"001";"rsup dr sardjito"
73;"Palagan";"KK";"Jl. Palagan Tentara Pelajar No. 92D, Ngaglik";"Yogyakarta";"";"172.16.68.0/24";"069";"001";""
74;"DJP DIY";"KK";"Jl. Padjajaran (Jl. Ringroad Utara) No. 10 Maguwoharjo, Depok, Puyeran";"Sleman";"";"172.16.71.0/24";"070";"001";"kantor wilayah kanwil direktorat jenderal pajak diy"
75;"Baturetno";"KK";"Jl. Pleret-Kotagede, Ngipik, Baturetno, Banguntapan";"Bantul";"";"172.16.72.0/24";"071";"029";""
76;"Pengasih";"KK";"Serang, Sendangsari, Pengasih";"Kulon Progo";"";"172.16.75.0/24";"072";"003";""
77;"KKPD Bantul";"PP";"Jl. Badegan No.25, Bejen";"Bantul";"";"";"073";"004";""
78;"KPPD Yogyakarta";"PP";"Jl. Tentara Pelajar No.13, Bumijo, Jetis";"Yogyakarta";"";"";"074";"001";"samsat yogyakarta"
79;"Janabadra";"PP";"Jl Tentara Rakyat Mataram No 55, Bumijo, Jetis";"Yogyakarta";"";"";"075";"006";"universitas Janabadra"
80;"KPPD Sleman";"PP";"Jl Magelang KM. 12, Triharjo";"Sleman";"";"";"076";"005";""
81;"Instiper";"KK";"Jl Nangka Maguwoharjo, Depok";"Sleman";"";"172.16.123.0/24";"077";"049";""
82;"KPP Bantul";"PP";"Jl Urip Sumoharjo, Gose";"Bantul";"";"172.16.74.0/24";"078";"004";"kantor pelayanan pajak pratama bantul"
83;"UMB";"KK";"Jl Wates KM. 10, Sedayu";"Bantul";"";"172.16.127.0/24";"079";"004";"universitas mercu buana"
84;"KPPD Kulon Progo";"KK";"Komplek KPPD Kabupaten Kulon Progo, Jl. Wates-Jogja KM. 27, Wates";"Kulon Progo";"";"172.16.128.0/24";"080";"003";"samsat wates"
85;"KPPD Gunung Kidul";"PP";"Jl Ki Hajar Dewantara, Wonosari";"Gunungkidul";"";"";"081";"002";"samsat wonosari"
86;"Panggang";"KK";"Panggang I, Giriharjo, Panggang";"Gunungkidul";"";"172.16.80.0/24";"082";"013";""
87;"Beringharjo";"KK";"Pasar Beringharjo, Jl. Margo Mulyo No.16, Ngupasan, Gondomanan";"Yogyakarta";"";"172.16.84.0/24";"083";"006";""
88;"Rongkop";"KCP";"Jl. Wonosari Pracimantoro, Baran Wetan, Semugih, Rongkop";"Gunungkidul";"";"172.16.87.0/24";"084";"002";""
89;"Kasongan";"KK";"Jl. Kasongan, Karangpule, Kasihan";"Bantul";"";"172.16.76.0/24";"085";"004";""
90;"KPP Wates";"KK";"Jl. Khuouri No. 53 , Wates";"Kulon Progo";"";"172.16.88.0/24";"086";"003";"kantor pelayanan pajak pratama wates"
91;"UKDW";"KK";"Kampus UKDW, Jl. Dr. Wahidin No 5-12";"Yogyakarta";"";"172.16.89.0/24";"087";"001";"universitas kristen duta wacana"
92;"KPP Yogyakarta";"KK";"Jl. P. Senopati No. 20,  Prawirodirjan, Gondomanan";"Yogyakarta";"";"172.16.91.0/24";"088";"006";"kpp senopati, kantor pelayanan pajak pratama yogyakarta"
93;"UGM";"KK";"Gedung Pusat Kompleks UGM, Bulaksumur";"Yogyakarta";"";"172.16.83.0/24";"089";"001";""
94;"GKN";"KK";"Jl. Kusumanegara No.11, Semaki, Umbulharjo";"Yogyakarta";"";"172.16.92.0/24";"090";"006";""
95;"Sidoarum";"KK";"Ruko Sidoarum No 2-3, Jl Godean KM. 6.5, Sidoarum, Godean ";"Sleman";"";"172.16.95.0/24";"091";"043";""
96;"Tepus";"KK";"Bintaos RT. 02/RW. 02 Ds. Sidoharjo";"Gunungkidul";"";"172.16.96.0/24";"092";"002";""
97;"Ngawen";"KK";"Kampung Kidul, Kampung Ngawen, Ngawen";"Gunungkidul";"";"172.16.97.0/24";"093";"011";""
98;"Pandak";"KK";"Jl Raya Srandakan Jodog, Gilang Harjo, Pandak";"Bantul";"";"172.16.100.0/24";"094";"032";""
99;"Pundong";"KK";"Ds. Srihardono, Pundong";"Bantul";"";"172.16.101.0/24";"095";"030";""
100;"Lendah";"KK";"Jl. Ngentakrejo No.184, Kasihan I, Ngentakrejo, Lendah";"Kulon Progo";"";"172.16.102.0/24";"096";"021";""
101;"Prambanan";"KCP";"Komplek Ruko Prambanan No. 7, Jl. Raya Piyungan-Prambanan, Ledoksari, Bokoharjo, Prambanan";"Sleman";"";"172.16.21.0/24";"097";"005";""
102;"Bambanglipuro";"KK";"Plumbangan, Sumbermulyo, Bambanglipuro";"Bantul";"";"172.16.103.0/24";"098";"036";""
103;"Kokap";"KK";"Ngaseman RT.26 / RW.07, Hargorejo, Kokap";"Kulon Progo";"";"172.16.105.0/24";"099";"003";""
104;"Girisubo";"KK";"Desa Jerukwudel, Girisubo";"Gunungkidul";"";"172.16.106.0/24";100;"084";""
105;"Cangkringan";"KK";"Jetis RT. 01/RW. 35, Argomulyo, Cangkringan";"Sleman";"";"172.16.107.0/24";101;"041";""
106;"UIN";"KK";"Campus Student Center UIN Sunan Kalijaga, Jl. Marsda Adi Sucipto, Caturtunggal, Depok, Papringan";"Sleman";"";"172.16.108.0/24";102;"001";"universitas islam negeri suka sunan kalijaga "
107;"Samigaluh";"KK";"Jetis, Gerbosari, Samigaluh";"Kulon Progo";"";"172.16.109.0/24";103;"022";""
108;"Jetis";"KK";"Jl, Imogiri Barat KM. 7, Ds. Nogosari, Kepek, Sumberagung";"Bantul";"";"172.16.110.0/24";104;"030";""
109;"Panjatan";"KK";"Pedukuhan IV, Garongan, Panjatan";"Kulon Progo";"";"172.16.111.0/24";105;"024";""
110;"Samsat Sleman";"KK";"Jl. Laksda Adisucipto KM. 10, Maguwoharjo, Depok";"Sleman";"";"172.16.137.0/24";106;"005";""
111;"Samsat Pembantu Bantul";"KK";"Jl. Parangtritis KM. 5, Sewon";"Bantul";"";"";107;"004";""
112;"DPB";"KK";"Kompleks II Pemda Kab. Bantul, Jl. Gadjah Mada No. 1, Kurahan";"Bantul";"";"172.16.13.0/24";108;"004";"dinas perizinan bantul"
113;"KPP Wonosari";"KK";"Jl. KH. Agus Salim No. 170 B, Kepek, Wonosari";"Gunungkidul";"";"172.16.119.0/24";109;"002";"kpp pratama wonosari"
114;"DPPKA Pemprov DIY";"PP";"Gedung DPPKA, Kompleks Kepatihan, Jl. Marioboro, Danurejan";"Yogyakarta";"";"";110;"001";""
115;"Ayodya Sardjito";"PP";"Paviliun Ayodya, Kompleks RSUP Dr. Sardjito, Jl. Kesehatan No. 1, Senolowo, Sinduadi, Mlati";"Yogyakarta";"";"";111;"001";"paviliun ayodya rsup dr. sardjito"
116;"Mikro Pasar Imogiri";"PP";"Komplek Pasar Imogiri, Jl. Imogiri Timur KM. 15, Imogiri";"Bantul";"";"";112;"004";""
117;"Mikro Pasar Piyungan";"PP";"Komplek Pasar Piyungan, Jl. Wonosari KM. 14, Srimulyo, Piyungan";"Bantul";"";"";113;"004";""
118;"Mikro Pasar Niten";"PP";"Komplek Pasar Niten, Jl. Bantul KM. 5, Tirtonirmolo, Kasihan";"Bantul";"";"";114;"004";""
119;"Argosari";"KK";"Komplek Pasar Argosari, Jl. Brigjen Katamso, Wonosari";"Gunungkidul";"";"172.16.118.0/24.";115;"002";"mikro makaryo pasar argosari"
120;"BATAN";"PP";"Komplek Kantor BATAN, Jl. Babarsari, Tambak Bayan, Caturtunggal, Depok";"Sleman";"";"172.16.85.0/24";116;"001";""
121;"Kas Mobil KC Wonosari";"MOBILE";"Jl. Brigjen Katamso No. 4, Wonosari";"Gunungkidul";"";"";117;"002";""
122;"Kas Mobil KC Sleman";"MOBILE";"Jl. Magelang KM. 11, Tridadi";"Sleman";"";"";118;"005";""
123;"Kas Mobil KC Utama";"MOBILE";"Jl. Tentara Pelajar No.7, Bumijo, Jetis";"Yogyakarta";"";"";119;"001";""
124;"Kas Mobil KC Senopati";"MOBILE";"Jl. P. Senopati No. 5-7, Ngupasan, Gondomanan";"Yogyakarta";"";"";120;"006";""
125;"Kas Mobil KC Bantul";"MOBILE";"Jl. Jend. Sudirman No. 2A";"Bantul";"";"";121;"004";""
126;"Kas Mobil KC Wates";"MOBILE";"Jl. Stasiun No. 1, Wates";"Kulon Progo";"";"";122;"003";""
127;"Dlingo";"KK";"Pancuran, Terong, Dlingo";"Bantul";"";"172.16.114.0/24";123;"029";""
128;"SD Al Azhar";"PP";"Jl. Ringroad Utara No.35A, RW.21, Pogung Lor, Sinduadi, Mlati";"Sleman";"";"";124;"001";""
129;"Minggir";"KK";"Jl. Balangan-Kebonagung, Balangan, Sendangrejo, Minggir";"Sleman";"";"172.16.115.0/24";125;"043";""
